year_start,fiscal_year,source_file,code,description,fce,admissions,male,emergency,waiting_list,mean_wait,median_wait,mean_los,median_los,mean_age,day_case,bed_days,age_0_14,age_15_59,age_60_74,age_75_plus,female,gender_unknown,planned,other_admission,chapter,category
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,F10-F19,Mental and behavioural disorders due to psychoactive subst.,42427.0,39168.0,29362.0,29429.0,5374.0,28.9,10.0,12.5,6.0,38.0,172.0,437540.8909315068,1728.0,36578.0,3070.0,989.0,,,,,Mental health,F10-F19 Mental and behavioural disorders due to psychoactive subst.
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,F20-F29,"Schizophrenia, schizotypal and delusional disorders",38517.0,34256.0,22757.0,26277.0,1905.0,21.5,4.0,121.1,31.0,41.0,41.0,2050881.2259589043,72.0,32598.0,3737.0,2011.0,,,,,Mental health,"F20-F29 Schizophrenia, schizotypal and delusional disorders"
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,F30-F39,Mood [affective] disorders,57376.0,52456.0,21287.0,40029.0,3316.0,20.5,3.0,46.1,25.0,51.0,1079.0,1958744.3526575344,144.0,36785.0,10604.0,9645.0,,,,,Mental health,F30-F39 Mood [affective] disorders
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,F40-F69,"Neurotic, bahavioural & personality disorders",33404.0,30965.0,14824.0,20760.0,4824.0,85.2,41.0,27.1,8.0,42.0,3619.0,589553.3055479452,725.0,26101.0,3968.0,2502.0,,,,,Mental health,"F40-F69 Neurotic, bahavioural & personality disorders"
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,F70-F79,Mental retardation,22665.0,21866.0,13217.0,2583.0,7964.0,11.2,1.0,199.5,3.0,22.0,651.0,356913.7915753424,8025.0,13738.0,303.0,97.0,,,,,Mental health,F70-F79 Mental retardation
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,F80-F99,Other mental and behavioural disorders,11785.0,10957.0,6574.0,4554.0,2830.0,30.2,7.0,101.2,7.0,33.0,699.0,313016.69895890413,3334.0,6214.0,871.0,1362.0,,,,,Mental health,F80-F99 Other mental and behavioural disorders
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,G00-G09,Inflammatory diseases of the central nervous system,4147.0,3378.0,2217.0,2347.0,324.0,32.6,14.0,14.0,8.0,30.0,144.0,44254.045808219176,1444.0,1913.0,577.0,212.0,,,,,Nervous system,G00-G09 Inflammatory diseases of the central nervous system
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,"G10-G13, G30-G32",Other degenerative diseases (incl. Alzheimer).,16160.0,13687.0,6859.0,6838.0,3007.0,29.1,14.0,56.7,15.0,72.0,449.0,449849.0390684931,363.0,2063.0,4152.0,9548.0,,,,,Nervous system,"G10-G13, G30-G32 Other degenerative diseases (incl. Alzheimer)."
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,G20-G26,Extrapyramidal & movement disorders (incl. Parkinsonism).,14291.0,11907.0,7551.0,5592.0,4642.0,43.7,21.0,27.2,13.0,67.0,2450.0,211140.28416438354,356.0,2674.0,4712.0,6543.0,,,,,Nervous system,G20-G26 Extrapyramidal & movement disorders (incl. Parkinsonism).
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,G35-G37,Demyelinating diseases (incl Multiple Sclerosis) of the CNS.,17443.0,16018.0,5546.0,3957.0,8944.0,28.8,12.0,15.2,5.0,45.0,5076.0,126264.18608219178,57.0,14819.0,2237.0,325.0,,,,,Nervous system,G35-G37 Demyelinating diseases (incl Multiple Sclerosis) of the CNS.
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,G40-G47,Epilepsymigraine & other episodic disorders,137397.0,125975.0,63294.0,58197.0,61233.0,118.3,71.0,5.6,2.0,50.0,39734.0,397441.62328767125,12804.0,72692.0,27118.0,24743.0,,,,,Nervous system,G40-G47 Epilepsymigraine & other episodic disorders
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,"G50-G73, G90-G99",Other diseases & disorders of the nervous syst.,21234.0,18441.0,10868.0,6324.0,8345.0,47.2,22.0,14.6,5.0,47.0,3491.0,191273.98793150685,2368.0,10705.0,5138.0,3014.0,,,,,Nervous system,"G50-G73, G90-G99 Other diseases & disorders of the nervous syst."
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,G80-G83,Cerebral palsy & other paralytic syndromes,17715.0,12845.0,9233.0,4953.0,4605.0,65.4,27.0,34.8,13.0,48.0,1908.0,340300.1712328768,3070.0,5001.0,4096.0,5537.0,,,,,Nervous system,G80-G83 Cerebral palsy & other paralytic syndromes
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,"H00-H06, H15-H22, H30-H36, H43-H5 Other disorders of the eye etc.","H00-H06, H15-H22, H30-H36, H43-H5 Other disorders of the eye etc.",111341.0,110223.0,53140.0,16962.0,90832.0,100.4,57.0,2.5,1.0,51.0,69390.0,99113.43575342467,17140.0,41264.0,27522.0,25315.0,,,,,Eye,"H00-H06, H15-H22, H30-H36, H43-H5 Other disorders of the eye etc. H00-H06, H15-H22, H30-H36, H43-H5 Other disorders of the eye etc."
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,H10-H13,Disorders of conjunctiva (including conjunctivitis),4182.0,4146.0,2087.0,912.0,3064.0,142.9,90.0,1.8,1.0,44.0,2724.0,2578.2714520547943,791.0,2078.0,863.0,450.0,,,,,Eye,H10-H13 Disorders of conjunctiva (including conjunctivitis)
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,H25-H28,Disorders of lens (including cataracts),219826.0,219388.0,78901.0,1189.0,215482.0,215.3,190.0,1.4,1.0,75.0,162200.0,76272.79205479451,525.0,18797.0,67961.0,132428.0,,,,,Eye,H25-H28 Disorders of lens (including cataracts)
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,H40-H42,Glaucoma,18661.0,18526.0,8411.0,2747.0,15394.0,61.2,42.0,2.2,1.0,68.0,9946.0,18212.23323287671,180.0,4007.0,7631.0,6830.0,,,,,Eye,H40-H42 Glaucoma
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,H60-H95,Diseases of the ear and mastoid process,104045.0,103008.0,55858.0,13060.0,88426.0,116.6,76.0,1.7,1.0,22.0,58322.0,76319.27626027398,63017.0,29975.0,7560.0,3490.0,,,,,Ear,H60-H95 Diseases of the ear and mastoid process
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,I00-I09,Rheumatic heart disease,5515.0,4576.0,1888.0,1069.0,3101.0,112.5,63.0,10.3,8.0,64.0,1251.0,35238.64701369863,63.0,1483.0,2781.0,1188.0,,,,,Circulatory,I00-I09 Rheumatic heart disease
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,I10-I15,Hypertensive diseases,18362.0,15684.0,9380.0,8325.0,3805.0,31.4,14.0,7.4,3.0,60.0,2748.0,94732.83768493151,276.0,7339.0,6303.0,4439.0,,,,,Circulatory,I10-I15 Hypertensive diseases
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,I20-I25,Ischaemic heart diseases,363098.0,290391.0,233963.0,192135.0,81494.0,116.8,70.0,6.7,5.0,66.0,39334.0,1675720.6187671232,42.0,104215.0,160011.0,98792.0,,,,,Circulatory,I20-I25 Ischaemic heart diseases
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,I26-I28,Pulmonary heart disease & diseases of pulmonary circulation,22146.0,16568.0,9596.0,14718.0,961.0,41.6,19.0,10.9,8.0,63.0,551.0,177086.52712328767,140.0,7392.0,7558.0,7048.0,,,,,Circulatory,I26-I28 Pulmonary heart disease & diseases of pulmonary circulation
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,I30-I52,Other forms of heart disease,254618.0,197440.0,133500.0,149270.0,34833.0,72.8,36.0,9.8,6.0,70.0,16277.0,1749844.8547945204,2111.0,42775.0,86096.0,123587.0,,,,,Circulatory,I30-I52 Other forms of heart disease
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,I60-I69,Cerebrovascular diseases,144800.0,104518.0,68620.0,83253.0,8364.0,37.0,20.0,25.4,12.0,73.0,857.0,2386650.172219178,403.0,20621.0,45636.0,78069.0,,,,,Circulatory,I60-I69 Cerebrovascular diseases
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,I70-I79,"Diseases of arteries, arterioles & capillaries",78439.0,67791.0,48360.0,19483.0,42991.0,50.3,26.0,9.7,4.0,68.0,8603.0,560477.9760821918,441.0,16000.0,33993.0,27995.0,,,,,Circulatory,"I70-I79 Diseases of arteries, arterioles & capillaries"
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,I80-I89,Diseases of veins & lymphatic system nec.,159579.0,149103.0,70976.0,38059.0,104714.0,183.6,113.0,4.5,2.0,52.0,64967.0,375096.69752054795,3409.0,99074.0,37783.0,19291.0,,,,,Circulatory,I80-I89 Diseases of veins & lymphatic system nec.
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,I95-I99,Other & unspecified disorders of the circulatory system,10060.0,7834.0,4346.0,5861.0,1450.0,22.3,7.0,10.8,6.0,73.0,1162.0,73807.33720547946,63.0,1393.0,2905.0,5696.0,,,,,Circulatory,I95-I99 Other & unspecified disorders of the circulatory system
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,J00-J06,Acute upper respiratory infections,90876.0,88792.0,50517.0,79091.0,8710.0,196.6,154.0,1.5,1.0,9.0,1029.0,124708.11194520547,72153.0,15333.0,1588.0,1794.0,,,,,Respiratory,J00-J06 Acute upper respiratory infections
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,J10-J18,Influenza & pneumonia,108866.0,83526.0,55160.0,77924.0,1882.0,14.2,5.0,13.0,6.0,60.0,895.0,940313.1557534246,13367.0,20384.0,22229.0,52853.0,,,,,Respiratory,J10-J18 Influenza & pneumonia
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,J20-J22,Other acute lower respiratory infections,126516.0,104959.0,61639.0,99518.0,1769.0,17.5,4.0,8.4,5.0,48.0,641.0,842613.4634794522,34617.0,20718.0,22214.0,48930.0,,,,,Respiratory,J20-J22 Other acute lower respiratory infections
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,J30-J39,Other diseases of upper respiratory tract,151782.0,150932.0,79770.0,9465.0,138655.0,180.7,132.0,1.4,1.0,28.0,24239.0,180146.74210958902,50777.0,85374.0,12224.0,3401.0,,,,,Respiratory,J30-J39 Other diseases of upper respiratory tract
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,J40-J47,Chronic lower respiratory diseases,221367.0,176096.0,112151.0,163524.0,6532.0,26.2,8.0,7.5,5.0,53.0,3885.0,1287397.5573972603,32685.0,53698.0,72061.0,62892.0,,,,,Respiratory,J40-J47 Chronic lower respiratory diseases
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,J60-J70,Lung diseases due to external agents,4319.0,2995.0,2641.0,2525.0,218.0,27.1,7.0,15.0,8.0,65.0,112.0,42925.668164383555,224.0,969.0,1163.0,1963.0,,,,,Respiratory,J60-J70 Lung diseases due to external agents
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,J80-J99,Other diseases of the respiratory system,52586.0,41787.0,30870.0,27041.0,9184.0,19.4,7.0,9.7,6.0,60.0,5091.0,357196.6923287671,2403.0,16865.0,17734.0,15580.0,,,,,Respiratory,J80-J99 Other diseases of the respiratory system
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,K00-K14,"Diseases of oral cavity, salivary glands & jaws",183655.0,182460.0,80049.0,7293.0,170488.0,115.0,63.0,1.7,1.0,30.0,140407.0,65159.058287671236,43195.0,121705.0,13230.0,5499.0,,,,,Digestive,"K00-K14 Diseases of oral cavity, salivary glands & jaws"
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,K20-K31,Diseases of oesophagusstomach & duodenum,333554.0,288151.0,176805.0,46362.0,218463.0,53.3,35.0,7.1,4.0,56.0,227173.0,466028.09263013693,7247.0,155787.0,100629.0,69847.0,,,,,Digestive,K20-K31 Diseases of oesophagusstomach & duodenum
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,K35-K38,Diseases of appendix,37251.0,34985.0,20303.0,33922.0,824.0,76.7,43.0,4.2,3.0,28.0,32.0,149260.47565753423,9849.0,24703.0,1875.0,822.0,,,,,Digestive,K35-K38 Diseases of appendix
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,K40-K46,Hernia,160882.0,155648.0,111270.0,15780.0,134602.0,142.0,82.0,3.2,2.0,54.0,75207.0,251248.4746027397,13897.0,69217.0,48647.0,29104.0,,,,,Digestive,K40-K46 Hernia
